optimizer,lr,n_seeds,n_diverged,train_loss_mean,train_loss_std,train_err_mean,test_err_mean,test_err_std,test_err_min,test_err_max,best_test_err_mean,wall_s,finite
adagrad,0.005,5,0,1.34113232421875,0.013949333667949424,44.38,58.372,0.24722459424579665,58.10999999999999,58.72999999999999,57.662,26.907999999999998,True
adagrad,0.0075,5,0,1.18064833984375,0.01661742986229729,37.910000000000004,56.19,0.23291629397703695,55.93,56.50999999999999,55.52,27.131999999999998,True
adagrad,0.01,5,0,1.0557072021484375,0.01632669184742399,32.86,54.874,0.2953472532460708,54.52,55.269999999999996,54.376,26.764,True
adagrad,0.05,5,0,0.26521879882812505,0.026168664927782564,3.160000000000001,51.20399999999999,0.7496532531777566,50.669999999999995,52.459999999999994,50.676,27.118000000000002,True
adagrad,0.1,5,0,0.12706344604492187,0.00828082269441275,0.6499999999999972,50.688,0.6309675110494983,49.650000000000006,51.18000000000001,50.35600000000001,26.726,True
adam,5e-05,5,0,1.7596649658203127,0.011588749092845893,61.27,67.438,0.35478162297390003,66.88000000000001,67.84,66.81199999999998,25.689999999999998,True
adam,0.0001,5,0,1.5368007568359374,0.012047486785217274,52.220000000000006,61.936,0.3482527817548659,61.349999999999994,62.230000000000004,61.657999999999994,27.538,True
adam,0.0003,5,0,1.1050525390625001,0.014155126722509114,34.019999999999996,55.516,0.3388657551302625,55.06999999999999,55.99000000000001,55.508,27.472,True
adam,0.0005,5,0,0.8216449340820313,0.013171002700807623,22.05,53.98199999999999,0.2662141994710285,53.66,54.269999999999996,53.565999999999995,27.77,True
adam,0.001,5,0,0.38512672119140623,0.0135879305580245,6.029999999999999,53.222,0.4070257977082018,52.75000000000001,53.75,53.036,27.722,True
adam,0.005,5,0,0.03811778717041016,0.00586644069311113,0.009999999999998899,51.166000000000004,0.5466077203991966,50.239999999999995,51.59,50.852,27.577999999999996,True
heavy_ball,0.01,5,0,0.3576172180175782,0.017552218864877286,5.8599999999999985,52.426,0.6262028425358623,51.790000000000006,53.410000000000004,51.54,26.564,True
heavy_ball,0.05,5,0,0.07217082061767578,0.009397029175527684,0.19999999999999574,51.035999999999994,0.5060434763930814,50.160000000000004,51.44,50.495999999999995,26.828000000000003,True
heavy_ball,0.25,5,0,0.08398298950195313,0.019354935349448613,0.9399999999999986,52.564,0.8109438944834608,51.47999999999999,53.669999999999995,52.00600000000001,27.048000000000002,True
heavy_ball,0.5,5,0,0.3442419677734375,0.08427156922983373,10.979999999999999,53.928,1.131048186418248,53.05,55.82,53.029999999999994,27.186,True
heavy_ball,1.0,5,0,1.3296935791015625,0.11781443158693682,51.57000000000001,62.104,2.977915378247006,59.97,67.04,61.312,26.4,True
heavy_ball,2.0,5,0,2.2120451416015627,0.19890505157666302,86.96000000000001,88.024,4.418470323539581,80.12,90.0,85.75999999999999,26.49,True
rmsprop,0.0001,5,0,1.4295279541015624,0.012678137169720001,48.03,59.86800000000001,0.44392566945379675,59.19,60.38,59.476,26.988,True
rmsprop,0.0003,5,0,0.9586229858398438,0.016928148951085735,27.96,54.096000000000004,0.355921339624359,53.54,54.50999999999999,53.86999999999999,26.472,True
rmsprop,0.0005,5,0,0.6685091430664063,0.020559006644811653,16.28,52.790000000000006,0.43834917588607164,52.31,53.32,52.790000000000006,26.824,True
rmsprop,0.001,5,0,0.288846435546875,0.028062592350234273,3.91,51.93399999999999,0.5416917942889673,51.22,52.51,51.912,26.52,True
rmsprop,0.005,5,0,0.08072087478637695,0.01563868817138256,0.5499999999999972,50.012,0.6882368778262331,49.050000000000004,50.78,49.838,26.898000000000003,True
sgd,0.01,5,0,1.4152302734375,0.014319392508909012,47.79,59.638,0.3989611509909201,59.24,60.25,58.806,27.098000000000003,True
sgd,0.05,5,0,0.6922541625976562,0.01774696385117572,17.64,52.926,0.7945942360727204,51.95000000000001,53.72,52.842,26.344,True
sgd,0.25,5,0,0.12296907043457031,0.019260013613454297,0.8299999999999997,50.588,0.20166804407242925,50.28,50.83,50.442,27.282,True
sgd,0.5,5,0,0.07330364608764647,0.012046570590905067,0.31999999999999806,49.946,0.4802915781064682,49.23,50.4,49.724000000000004,26.869999999999997,True
sgd,1.0,5,0,0.06372971115112305,0.014174085926504045,0.33999999999999586,50.36,0.6890573270780869,49.57,51.03,49.774,26.764,True
sgd,2.0,5,0,0.09989119110107422,0.020174550836017283,1.0099999999999998,51.70799999999999,0.30613722413322997,51.459999999999994,52.239999999999995,51.436,26.413999999999998,True
